Model,Dipole MAE,Polar MAE
EGNN,1.2752834558486938,4.257742881774902
EGNN+TDA,1.2699617147445679,4.466344833374023
MLP,1.2440714836120605,4.873478412628174
MLP+TDA,1.2414063215255737,4.50221061706543
